fish_id,species,common_name,waterbody_name,kingdom,phylum,class,order,family,genus,status,feeding_type,temp_max,weight_max,length_max,temp_pref_min,temp_pref_max,temp_range,fecundity_mean,fecundity_min,fecundity_max,trophic_lvl_estimate,trophic_lvl,wb_ph_min,wb_ph_max,wb_salinity_min,wb_salinity_max,wb_do_min,wb_do_max,wb_bod_min,wb_bod_max,wb_turbidity_min,wb_turbidity_max,wb_temp_min,wb_temp_max
F1284,Salmo ezenami,Kezenoi-am Trout,"River Tyne, England",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,CR,,,17000,113,5,18,13,,,,3.8,,6.5,7.0,0.0,0.0,8.5,8.5,,,,,10.0,15.0
F1284,Salmo ezenami,Kezenoi-am Trout,"River Wear, England",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,CR,,,17000,113,5,18,13,,,,3.8,,6.5,7.0,0.0,0.0,8.5,8.5,,,,,10.0,15.0
F1284,Salmo ezenami,Kezenoi-am Trout,"River Tees, England",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,CR,,,17000,113,5,18,13,,,,3.8,,6.5,7.0,0.0,0.0,8.5,8.5,,,,,10.0,15.0
F1284,Salmo ezenami,Kezenoi-am Trout,"River Dee, Wales",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,CR,,,17000,113,5,18,13,,,,3.8,,6.5,7.0,0.0,0.0,8.5,8.5,,,,,10.0,15.0
F1284,Salmo ezenami,Kezenoi-am Trout,"River Severn, Wales",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,CR,,,17000,113,5,18,13,,,,3.8,,6.5,7.0,0.0,0.0,8.5,8.5,,,,,10.0,15.0
F1284,Salmo ezenami,Kezenoi-am Trout,"River Wye, Wales",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,CR,,,17000,113,5,18,13,,,,3.8,,6.5,7.0,0.0,0.0,8.5,8.5,,,,,10.0,15.0
F1284,Salmo ezenami,Kezenoi-am Trout,"River Usk, Wales",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,CR,,,17000,113,5,18,13,,,,3.8,,6.5,7.0,0.0,0.0,8.5,8.5,,,,,10.0,15.0
F1284,Salmo ezenami,Kezenoi-am Trout,"River Severn, England",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,CR,,,17000,113,5,18,13,,,,3.8,,6.5,7.0,0.0,0.0,8.5,8.5,,,,,10.0,15.0
F1284,Salmo ezenami,Kezenoi-am Trout,"River Trent, England",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,CR,,,17000,113,5,18,13,,,,3.8,,6.5,7.0,0.0,0.0,8.5,8.5,,,,,10.0,15.0
F1284,Salmo ezenami,Kezenoi-am Trout,"River Thames, England",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,CR,,,17000,113,5,18,13,,,,3.8,,6.5,7.0,0.0,0.0,8.5,8.5,,,,,10.0,15.0
F1284,Salmo ezenami,Kezenoi-am Trout,"River Humber, England",Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,CR,,,17000,113,5,18,13,,,,3.8,,6.5,7.0,0.0,0.0,8.5,8.5,,,,,10.0,15.0
F1285,Acipenser naccarii,Adriatic sturgeon,Po River (Italy),Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,CR,predator,,25000,200,14.7,18.2,3.5,,,,,3.35,7.5,8.5,0.1,0.5,8.0,12.0,2.0,4.0,2.0,5.0,10.0,20.0
F1285,Acipenser naccarii,Adriatic sturgeon,Ticino River (Italy),Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,CR,predator,,25000,200,14.7,18.2,3.5,,,,,3.35,7.5,8.5,0.1,0.5,8.0,12.0,2.0,4.0,2.0,5.0,10.0,20.0
F1285,Acipenser naccarii,Adriatic sturgeon,Adda River (Italy),Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,CR,predator,,25000,200,14.7,18.2,3.5,,,,,3.35,7.5,8.5,0.1,0.5,8.0,12.0,2.0,4.0,2.0,5.0,10.0,20.0
